Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
Faizan E Garib Nawaz Madarsa and Masjid,"33GR+X8V, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,6,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.0774999,73.0908006,localisy014951,ChIJ_7p2w_Tr5zsRtBTV9xi9MlA,,,,,,Religious & Spiritual,Mosques,Taloja
Sunni Jama Masjid,"35Q2+FR8, Wavanje, Taloja, Vavanje, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.6,24,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.088656,73.1520685,localisy014952,ChIJN28Nr7jr5zsRvmKAMyVcn5U,photos\localisy09361_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
TALOJA VILLAGE (Gaon),"near Jama Masjid, Taloja Panchanand, Sector 40, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.8,62,"historical_landmark, historical_place, point_of_interest, establishment",19.0678225,73.0890017,localisy014953,ChIJfUZCNADr5zsR6oPZiTuG00g,photos\localisy09362_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
Noor Madrasa & Masjid,"kohinoor palace H.No.1441 Wavanje, Taloja, Tal, Panvel, Vavanje, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.5,20,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.0834746,73.1529999,localisy014954,ChIJ4Vnig8vr5zsR3JG31YaqzJg,photos\localisy09353_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
At-Tawheed Kharghar (Masjid),"SAI HIRA PARK, Sector 35F, Sector 35I, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,,4.9,14,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.070775899999997,73.0737475,localisy014955,ChIJeY5WDADB5zsRcTSpjmT476A,photos\localisy09365_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
Shia Karbala Taloja Phase-1,"33JX+9H4, Petali, Taloja Panchanand, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,2,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.080896499999998,73.0989499,localisy014956,ChIJ-_WGcQDr5zsR1ahKjd1D8D8,photos\localisy09367_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
Ahle hadees Masjid wavanje,"35J3+83Q, Taloja, Vavanje, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.5,34,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.0808307,73.1527194,localisy014957,ChIJoRNy9MPr5zsRtJJuEyLRd3A,photos\localisy09368_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
Masjid Dar-e-Arqam,"Royal Villa Plot No 91 sector 2, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,5,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.080012999999997,73.09028099999999,localisy014958,ChIJJZTYMYHr5zsRoqYi1YCQdYk,photos\localisy09370_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
Madina masjid,"35H2+JP5, Pale Patilwadi Rd, Taloja, Vavanje, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,3,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.0795675,73.15192069999999,localisy014959,ChIJ40OYRgDr5zsRfCNVfvoaTcY,photos\localisy09371_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
(Steel Market Sunni) Raza Masjid,"1334, 1333, Rd Number 15/1, Sector AWC, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,,4.6,85,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.0372378,73.1093094,localisy014960,ChIJA58rJcDp5zsRv5hNx8G0ZRw,photos\localisy09327_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
Kabristan Taloja Muslim Taras,"sector 39 B, MH SH 76, Taloja Panchanand, Sector 40, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,3,"mosque, place_of_worship, association_or_organization, point_of_interest, establishment",19.068143499999998,73.0882986,localisy014961,ChIJx6HKhQfq5zsRWs4IAZ_AM6E,photos\localisy09376_1.jpg,,,,,Religious & Spiritual,Mosques,Taloja
"St. Sebastian’s Church, Kalamboli","Sector 8, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,,4.3,214,"church, place_of_worship, association_or_organization, point_of_interest, establishment",19.030553599999998,73.1016776,localisy014962,ChIJP82YkcTp5zsR6kQx8rfiyY4,photos\localisy09366_1.jpg,,,,,Religious & Spiritual,Churches,Taloja
Holy Spirit Church,"Sector 11, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,9969206755,4.4,105,"church, place_of_worship, association_or_organization, point_of_interest, establishment",19.0335011,73.101236,localisy014963,ChIJ3Q0NF8Pp5zsRJo2uQ1LKz7A,photos\localisy09365_1.jpg,,,,,Religious & Spiritual,Churches,Taloja
