Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Search Locality
The Bellpepper Cafe,"Shop No.8, Ground Floor, Sun City CHS, Plot No.63, Sector No. 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 84510 64999,4.6,79,"cafe, point_of_interest, food, establishment",19.0075566,73.0353212,localisy000014,ChIJRw7BzZzD5zsRgCCBa8y2ni8,photos\localisy00014_1.jpg,,,,,Cafes,CBD Belapur
Canvas Bistro Bar,"7, Uran Rd, Nilgiri Gardens, Ekta Vihar, Sector 26, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 75959 59339,4.3,1415,"bistro, restaurant, point_of_interest, food, establishment",19.0247752,73.028018,localisy000015,ChIJUfi2N7DD5zsR_0BqVGt5s7E,photos\localisy00015_1.jpg,,,,,Cafes,CBD Belapur
Cafe Crew,"Shop No 19, Vishnu Complex, Plot no 36, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 99304 29191,4.7,236,"restaurant, point_of_interest, food, establishment",19.009829699999997,73.0313779,localisy000016,ChIJwzLY9QrD5zsRQC1tae4aTAk,photos\localisy00016_1.jpg,,,,,Cafes,CBD Belapur
Bahaana,"Citi Tower, plot 55, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 89282 64122,4.3,679,"restaurant, point_of_interest, food, establishment",19.009960799999998,73.0333244,localisy000017,ChIJv4_dYhbD5zsROa38oHnSKf0,photos\localisy00017_1.jpg,,,,,Cafes,CBD Belapur
AurumKrave,"Shop no.24, Sai Vihar CHS, Plot No. 78-80, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 90041 85811,4.8,67,"restaurant, cafe, point_of_interest, food, establishment",19.0085209,73.03725740000002,localisy000018,ChIJXx9uh-nD5zsRhWcSyOrZ2Gw,photos\localisy00018_1.jpg,,,,,Cafes,CBD Belapur
Erba Restaurant and Cafe,"Shop no. 4, Progressive Sea Lounge CHS, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 93202 06060,4.4,379,"restaurant, italian_restaurant, point_of_interest, food, establishment",19.006658899999998,73.0326876,localisy000019,ChIJv7tsjsbB5zsRfRMdaByW2pk,photos\localisy00019_1.jpg,,,,,Cafes,CBD Belapur
"Mantoou The Asian Bistro, CBD-Belapur","Shop No,4, Preogressive's, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 97692 26855,4.6,711,"restaurant, point_of_interest, food, establishment",19.012629099999998,73.03649,localisy000020,ChIJcZrC8b3D5zsR3p5eJPE7LfQ,photos\localisy00020_1.jpg,,,,,Cafes,CBD Belapur
THE BAR STOCK EXCHANGE - CBD Belapur,"Off Palm Beach Rd Shop No 1,2,4 To 45, PLOT NO 51, Thapar Complex, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 91703 91703,4.2,4113,"bar_and_grill, bar, restaurant, point_of_interest, food, establishment",19.0095509,73.033051,localisy000021,ChIJsegloBzD5zsR00b_0YxvAMI,photos\localisy00021_1.jpg,,,,,Cafes,CBD Belapur
Pop Tate's Belapur,"Shop No 1 & 2, Plot No: 7, Arenja Chambers - II Premises Co-operative Society Ltd, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 89769 53813,4.4,1270,"italian_restaurant, restaurant, point_of_interest, food, establishment",19.0114043,73.0335607,localisy000022,ChIJOw-aSOzD5zsREfQok5ChrHQ,photos\localisy00022_1.jpg,,,,,Cafes,CBD Belapur
Gracias Granny Mexican Cafe,"Shop 33 and 34, Sun City Building, Plot 62, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 70212 15011,4.7,1926,"mexican_restaurant, catering_service, cafe, food_delivery, service, restaurant, point_of_interest, food, establishment",19.0085025,73.0354979,localisy000023,ChIJB5c2O5PD5zsRRUx0Ba0NV4c,photos\localisy00023_1.jpg,,,,,Cafes,CBD Belapur
Café Coffee Day,"Ground Floor, Chawala Plaza, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 1800 102 5093,4.2,745,"cafe, coffee_shop, sandwich_shop, meal_takeaway, pastry_shop, dessert_shop, bakery, confectionery, food_store, store, restaurant, point_of_interest, food, establishment",19.017142,73.0445002,localisy000024,ChIJCbHds1PC5zsRxNEZxvz--fg,photos\localisy00024_1.jpg,,,,,Cafes,CBD Belapur
Sadda Punjab | Best restaurant in navi mumbai,"Hilton Towers, Shop No. 014, Plot 66, Sector 11 Road, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 72172 19449,4.1,1080,"restaurant, pakistani_restaurant, fine_dining_restaurant, north_indian_restaurant, indian_restaurant, point_of_interest, food, establishment",19.0138335,73.0379858,localisy000025,ChIJT9OwfivD5zsRE1MoBDd8xgs,photos\localisy00025_1.jpg,,,,,Cafes,CBD Belapur
Chaayos Cafe At CBD Belapur Mumbai,"Shop No.3, Ground Floor, Suncoast Co-op.Hsg.Socy., Plot No.27 at, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 1800 120 2424,4.2,114,"cafe, coffee_shop, food_store, store, point_of_interest, food, establishment",19.0061401,73.0324175,localisy000026,ChIJK_u8XwDD5zsR5J2eGbmtjys,photos\localisy00026_1.jpg,,,,,Cafes,CBD Belapur
Chapter,"Shop No.17, Ground Floor, Citi Tower, Plot no-55, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 93212 70803,4.2,158,"restaurant, point_of_interest, food, establishment",19.009902999999998,73.033378,localisy000027,ChIJexvrKkzD5zsRVFhdXLLCXiI,photos\localisy00027_1.jpg,,,,,Cafes,CBD Belapur
Birista The family Restaurant,"Belapur Sun City, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 72081 44024,4.4,98,"family_restaurant, restaurant, point_of_interest, food, establishment",19.007904200000002,73.0352759,localisy000028,ChIJp3G_dADD5zsRcqhBeUWQlvI,photos\localisy00028_1.jpg,,,,,Cafes,CBD Belapur
Sammy Sosa,"Shop No 7 & 8, Mahavir Icon, Plot No. 89 & 90, Palm Beach Rd, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 74002 26363,4.4,5046,"mexican_restaurant, bar, restaurant, point_of_interest, food, establishment",19.0102095,73.0372624,localisy000029,ChIJAQDAWarD5zsRYbaqg5A4kBg,photos\localisy00029_1.jpg,,,,,Cafes,CBD Belapur
Ayame,"shop no-7,1st floor, Sai Sagar Complex, plot no-69, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 99679 33447,4.6,553,"restaurant, point_of_interest, food, establishment",19.0112071,73.0349956,localisy000030,ChIJ-1oPbWLD5zsRU2NuCyyNVj8,photos\localisy00030_1.jpg,,,,,Cafes,CBD Belapur
Keo cafe,"Shop No. 1, Mayuresh Cosmos CHS, Plot No. 37, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,,5,12,"cafe, point_of_interest, food, establishment",19.0159324,73.0415055,localisy000031,ChIJwWqKl5DD5zsRG153UmTAsfU,photos\localisy00031_1.jpg,,,,,Cafes,CBD Belapur
MAHINDKAR CAFE HOUSE,"Shop no 12, Punit Tower, Plot no 31, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 87792 02049,4.8,70,"coffee_shop, breakfast_restaurant, tea_store, cafe, food_store, store, restaurant, point_of_interest, food, establishment",19.0164013,73.0426351,localisy000032,ChIJDznFfcHD5zsRcFfLb1m_Hn4,photos\localisy00032_1.jpg,,,,,Cafes,CBD Belapur
Fusion Grill Dine & Lounge,"Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 89283 08034,4.2,2037,"bar_and_grill, bar, restaurant, point_of_interest, food, establishment",19.0184404,73.0436057,localisy000033,ChIJ____L1PC5zsRJ6v-77eRBbI,photos\localisy00033_1.jpg,,,,,Cafes,CBD Belapur
Parsik Adda,"Parsik Hill Rd, Sector 26, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 87790 45043,4.2,595,"cafe, point_of_interest, food, establishment",19.023741899999997,73.0317748,localisy000034,ChIJ2f5MAAHD5zsR5_exhDItIsI,photos\localisy00034_1.jpg,,,,,Cafes,CBD Belapur
Starbucks,"Shop No 4, Trishul Goldmine, Palm Beach Rd, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 1860 266 0010,4.6,1764,"coffee_shop, snack_bar, cafe, meal_takeaway, food_store, store, restaurant, point_of_interest, food, establishment",19.0114587,73.0348626,localisy000035,ChIJ41uj8RnD5zsRelGt_xrczqs,photos\localisy00035_1.jpg,,,,,Cafes,CBD Belapur
Tyde Cafe,"222F+MP6, Sector 32, Seawoods, Navi Mumbai, Maharashtra 410206, India",,Panvel,Navi Mumbai,Maharashtra,410206,,3.5,141,"cafe, point_of_interest, food, establishment",19.0011796,73.02456769999999,localisy000036,ChIJY2V7BADD5zsRhG7_dke9sUU,photos\localisy00036_1.jpg,,,,,Cafes,CBD Belapur
"Theobroma Bakery and Cake Shop - CBD Belapur, Navi Mumbai","Shop No 1/16, Shiv Darshan Building, Plot 1, A & B Wings CBD Belapur Sector No 15, 0ff, Palm Beach Rd, opp. to I.E.I INSTITUTE, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 81828 81881,4.1,364,"bakery, pastry_shop, dessert_shop, confectionery, food_store, store, point_of_interest, food, establishment",19.012524,73.036936,localisy000037,ChIJZxAVAFvD5zsRD2fAPmJLgHo,photos\localisy00037_1.jpg,,,,,Cafes,CBD Belapur
Hilltop Cafe,"Shop no.11, Uphill from Apollo Hospital, 12/13, Parsik Hill, Sector 30, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,,3.9,162,"cafe, point_of_interest, food, establishment",19.0237891,73.03185549999999,localisy000038,ChIJP_9JK2fD5zsRTe9OmTz7n2A,photos\localisy00038_1.jpg,,,,,Cafes,CBD Belapur
Panache,"Shop No. 5, Shah Prima, Sector 2, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,+91 82916 71234,4.5,144,"coffee_shop, cafe, food_store, store, point_of_interest, food, establishment",19.0298105,73.06520019999999,localisy000039,ChIJH4V59azD5zsR8UGYZzwvjEE,photos\localisy00009_1.jpg,,,,,Cafes,CBD Belapur
Anna Dosa Cafe,"Shop 26, NBC Complex, Plot 43, Belapur East, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 93263 98797,4.2,555,"south_indian_restaurant, indian_restaurant, restaurant, point_of_interest, food, establishment",19.0167576,73.03931450000002,localisy000040,ChIJ56GNb2TD5zsRW4hWXac1ygs,photos\localisy00040_1.jpg,,,,,Cafes,CBD Belapur
AFC CAFE,"Shop no, House no. 735, 01, Agroli Village Rd, Agroli, Sector 29, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 95948 39789,5,12,"cafe, food, point_of_interest, establishment",19.0189974,73.0366473,localisy000041,ChIJKz0cNSrD5zsRUKSE535F8KU,photos\localisy00041_1.jpg,,,,,Cafes,CBD Belapur
Cafeee vadakkam,"Vindhya commercial premises coperative society, shop no 6, and 26, plot no 1, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 83184 48115,4.3,12,"cafe, food, point_of_interest, establishment",19.0215006,73.0179993,localisy000042,ChIJF2byNdnD5zsRf6pUrkw-GqY,photos\localisy00042_1.jpg,,,,,Cafes,CBD Belapur
West 1 - The Park,"The Park, 1, Sector 10, CBD Belapur, Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Belapur,Maharashtra,400614,+91 22 6758 9000,4.2,809,"buffet_restaurant, breakfast_restaurant, vegetarian_restaurant, restaurant, food, point_of_interest, establishment",19.024531,73.036644,localisy000043,ChIJaZaLh7PD5zsRP_-1za3t7QY,photos\localisy00043_1.jpg,,,,,Cafes,CBD Belapur
China Bistro Belapur,"Shop - 9 & 10, Mahavir Icon, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 22 4942 2323,4.5,1185,"chinese_restaurant, asian_restaurant, vegetarian_restaurant, family_restaurant, chinese_noodle_restaurant, restaurant, food, point_of_interest, establishment",19.0102537,73.0372845,localisy000044,ChIJTbnaJX_D5zsRGWs52gM9JsE,photos\localisy00044_1.jpg,,,,,Cafes,CBD Belapur
