Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category
???? ?????? ?????? ??????,"? ??? ???????? ??? ???? 15/A ????? ???? 205, ?????, Sector 18A, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 18A,Nerul,Navi Mumbai,Maharashtra,400706,,,,"astrologer, point_of_interest, establishment",19.0335374,73.0087956,localisy20554,ChIJC2NJmfLD5zsRVISeMFeQsWY,photos\localisy27953_1.jpg,,,,,Astrologers
?????,"Shop no. 2, Building, 2-4, near Bus Stop, NL - 4 Type, Sector : 11, Sector 15, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 15,Nerul,Navi Mumbai,Maharashtra,400706,+91 90045 26592,4.6,80,"beauty_salon, service, point_of_interest, establishment",19.0363376,73.021595,localisy18375,ChIJjY3RysPD5zsRUNyOHT_u-Ac,photos\localisy20702_1.jpg,,,,,Beauty Parlours
???? ???? ??????? ????? ??? ?????,"1ST FLOOR, SAI SHRADDHA CH, S ROOM, Sneh Rohit CHS, Shivaji Rd, opp. GUNE HOSPITAL, Old Panvel, Panvel, Maharashtra 410206, India",opp. GUNE HOSPITAL,Panvel,Panvel,Maharashtra,410206,+91 91370 97267,5,8,"astrologer, point_of_interest, establishment",18.9907039,73.1147548,localisy18848,ChIJofov33rp5zsRlYKQ0Hs0Mw0,photos\localisy09407_1.jpg,,,,,Astrologers
?????????? ??????? ?????? ??????? ????????,"Aasavari gruh sankul, Metro Station Thane, L07/1401, near Pandhar, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",Taloja Panchanand,Taloja,Panvel,Maharashtra,410208,+91 70390 53699,,,"astrologer, point_of_interest, establishment",19.0702472,73.1007343,localisy12617,ChIJ8fLeRU_r5zsRI9BGR2dGaBY,photos\localisy09485_1.jpg,,,,,Astrologers
???????? ????????????????,"Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",Taloja Panchanand,Taloja,Panvel,Maharashtra,410208,+91 98672 42614,5,1,"clothing_store, store, point_of_interest, establishment",19.0776415,73.0907505,localisy12052,ChIJ-4z8n3zr5zsR_-X5Gtoxvrk,photos\localisy08954_1.jpg,,,,,Boutiques
????????????,"337W+63X, Panvel Rd, Navde, Taloja, Panvel, Maharashtra 410208, India",Navde,Taloja,Panvel,Maharashtra,410208,,1.5,2,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",19.0632,73.0948083,localisy00094,ChIJg6wXRgDr5zsRmD05bo2EVd8,photos\localisy00034_1.jpg,,,,,Cafes
