Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category
MedPlus Lenyadri Nerul,"Shop No, 1 Sector 19A Nerul Rd Nerul East, Sector 19A, near Madhavi CHS, Nerul East, Society, Nerul, Navi Mumbai, Maharashtra 400706, India",Society,Nerul,Navi Mumbai,Maharashtra,400706,+91 40 6700 6700,3.6,37.0,"pharmacy, general_store, drugstore, health, food_store, food, store, point_of_interest, establishment",19.029833,73.02539420000001,localisy18152,ChIJl7Fqb8fD5zsR-I9ew6Pfass,photos\localisy20004_1.jpg,,,,,Medical Stores
Sangam Medical And General Stores,"Shop Number.11, Building Number.10, Phase-3, Sea Breeze C.H.S, Sector 14 Nerul Rd, Panchratna Society, Sector 16, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 16,Nerul,Navi Mumbai,Maharashtra,400706,+91 98195 24043,4.5,41.0,"pharmacy, general_store, health, food_store, food, store, point_of_interest, establishment",19.035819,73.00864,localisy18153,ChIJiT_78u7D5zsRcKYz7ill60A,photos\localisy20005_1.jpg,,,,,Medical Stores
Nishant MEDICO,"Jagatguru Aadi Shankracharya Marg, near Nerul Station, NL-6, Sector 15, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 15,Nerul,Navi Mumbai,Maharashtra,400706,+91 76658 89318,4.2,13.0,"pharmacy, health, store, point_of_interest, establishment",19.0346002,73.0193592,localisy18154,ChIJ-aSxhMHD5zsRQwW-f4yGYEk,photos\localisy20007_1.jpg,,,,,Medical Stores
My Ostomy Club,"Railway Station Complex, B -208, Vighnahar Co-Operative Housing Society, Nerul (E, Nerul, Navi Mumbai, Maharashtra 400706, India",Nerul (E,Nerul,Navi Mumbai,Maharashtra,400706,+91 99872 21688,5.0,7.0,"health, point_of_interest, establishment",19.0338457,73.0195871,localisy18156,ChIJITK3NizD5zsRoHOG42BsQdc,photos\localisy20010_1.jpg,,,,,Medical Stores
MedPlus Sector 10 Nerul,"Ground Floor, Plot Number 3, near Saibaba Hotel, Nerul East, Sector 10, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 10,Nerul,Navi Mumbai,Maharashtra,400706,+91 86559 20766,4.0,4.0,"pharmacy, general_store, health, food_store, food, store, point_of_interest, establishment",19.0377584,73.0174437,localisy18157,ChIJcT7JKx-_5zsRTK90TW_DEVQ,photos\localisy20011_1.jpg,,,,,Medical Stores
Amit Medical Store,"Darave Rd shop no 1, siddhi apt, Nerul East, Sector 23, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 23,Nerul,Navi Mumbai,Maharashtra,400706,+91 83558 50322,4.8,4.0,"pharmacy, health, store, point_of_interest, establishment",19.0243178,73.01857559999999,localisy18158,ChIJ3XznDr7D5zsRadAKLgipUV8,photos\localisy20012_1.jpg,,,,,Medical Stores
Generic Medicine store(Atharv Medical Stores),"Sneh sadan shop no-1 plot 15, shop no-1, plot 15, Nerul East, Sector 21, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 21,Nerul,Navi Mumbai,Maharashtra,400706,+91 88796 09365,4.4,5.0,"store, health, point_of_interest, establishment",19.0304115,73.0224983,localisy18160,ChIJ1-GauBnD5zsREeSQ7iN2wuk,photos\localisy20013_1.jpg,,,,,Medical Stores
Bhagvati Medical & General Stores,"Shop No.7, F-1 Type, Nerul (E, Sector 3, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 3,Nerul,Navi Mumbai,Maharashtra,400706,+91 97695 53288,4.6,14.0,"drugstore, store, health, point_of_interest, establishment",19.0426317,73.0221001,localisy18162,ChIJo-e2stzD5zsRKSuNJgF46zM,photos\localisy20014_1.jpg,,,,,Medical Stores
Vinod Medical & General stores,"Shop Number 4 Plot Number NL 4, NL - 4 Type, Sector : 11, Sector 11, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 11,Nerul,Navi Mumbai,Maharashtra,400706,,5.0,1.0,"medical_center, hospital, health, service, point_of_interest, establishment",19.0371229,73.02053049999999,localisy18164,ChIJa6EalXXD5zsR-FjuiqTBnnU,,,,,,Medical Stores
Shiravane Medical & General Store,"F1-A, Jagatguru Aadi Shankracharya Marg, Nerul East, Sector 9, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 9,Nerul,Navi Mumbai,Maharashtra,400706,,3.0,3.0,"pharmacy, store, health, point_of_interest, establishment",19.0403697,73.0213089,localisy18166,ChIJrdgVSMPD5zsRPTx8K5ZqJmI,photos\localisy20017_1.jpg,,,,,Medical Stores
Sunny Medical Store,"22JC+CM7, Nerul East, Sector 21, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 21,Nerul,Navi Mumbai,Maharashtra,400706,,4.1,9.0,"store, health, point_of_interest, establishment",19.031035,73.0216856,localisy18167,ChIJ5Yhh_dbD5zsRn3U6GCfzSTQ,photos\localisy20018_1.jpg,,,,,Medical Stores
Vaidehi Medical And General Stores,"22P8+32Q, Nerul Village Rd, Sector 20, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 20,Nerul,Navi Mumbai,Maharashtra,400706,,4.0,4.0,"pharmacy, general_store, food_store, store, health, food, point_of_interest, establishment",19.0352153,73.015103,localisy18169,ChIJ-1YGjOnD5zsRHkcyYr2d9dM,,,,,,Medical Stores
New Maruti Medico,"Shop No.5&6, Mahvir Niwas, Plot No.301, near Hawares Centurion Mall, Nerul East, Sector 21, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 21,Nerul,Navi Mumbai,Maharashtra,400706,+91 88797 89789,4.3,83.0,"pharmacy, store, health, point_of_interest, establishment",19.0249918,73.0212012,localisy18170,ChIJi_3blr7D5zsRoqASkAgU2T0,photos\localisy20022_1.jpg,,,,,Medical Stores
Ganesh Medical & General Stores,"Shop No. 7, Plot No. 1, Chhatrapati Sambhaji Chowk, Nandanvan Society, Sector 17, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 17,Nerul,Navi Mumbai,Maharashtra,400706,+91 98196 76468,4.0,14.0,"pharmacy, store, health, point_of_interest, establishment",19.0337617,73.02122709999999,localisy18172,ChIJP6y1FcHD5zsRxI_TvYTJTQg,photos\localisy20023_1.jpg,,,,,Medical Stores
GBCB MAHALAXMI MEDICAL AND GENERAL STORE,"Shop No 2, West, near Sushila Bar Line, Nerul East, Sector 20, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 20,Nerul,Navi Mumbai,Maharashtra,400706,+91 91374 56419,5.0,2.0,"pharmacy, store, health, point_of_interest, establishment",19.0337217,73.0160514,localisy18174,ChIJi1XzPWLD5zsRcxl-cGOBAwY,photos\localisy20026_1.jpg,,,,,Medical Stores
Sahakar Chemist (Generic medicine store),"shop no c1, Nerul East, Sector 15, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 15,Nerul,Navi Mumbai,Maharashtra,400706,+91 70393 00310,4.9,20.0,"store, health, point_of_interest, establishment",19.0341278,73.01935809999999,localisy18175,ChIJP8qMiBfD5zsR0RDWoR55jD8,photos\localisy20027_1.jpg,,,,,Medical Stores
Aditya Medical And General Stores,"22P8+225, Nerul Village Rd, Sector 20, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 20,Nerul,Navi Mumbai,Maharashtra,400706,,4.0,4.0,"medical_clinic, general_store, food_store, store, health, food, point_of_interest, establishment",19.0350055,73.015103,localisy18177,ChIJlSSCienD5zsROgmzHsvxg_I,photos\localisy20028_1.jpg,,,,,Medical Stores
Sri Medical and General store,"Shop No 18, Plot No 105, Sector 27, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 27,Nerul,Navi Mumbai,Maharashtra,400706,,5.0,1.0,"pharmacy, store, health, point_of_interest, establishment",19.0231677,73.02484199999999,localisy18178,ChIJFb-N4szD5zsRbkkfCEKOPNk,photos\localisy20030_1.jpg,,,,,Medical Stores
HEALTH CARE MEDICAL,"22MC+F57, Kamaladevi Birajdar Marg, Nerul East, Sector 21, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 21,Nerul,Navi Mumbai,Maharashtra,400706,,,,"pharmacy, store, health, point_of_interest, establishment",19.0336525,73.0204279,localisy18179,ChIJocpNDMHD5zsRndQyED90XHw,,,,,,Medical Stores
